,Team,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OPP eFG%,OPP TOV%,OPP DRB%,OPP FT/FGA,Arena,Attendance,LG W,LG L,LG PW,LG PL,LG MOV,LG SOS,LG SRS,LG ORtg,LG DRtg,LG Pace,LG FTr,LG 3PAr,LG eFG%,LG TOV%,LG ORB%,LG FT/FGA,LG OPP eFG%,LG OPP TOV%,LG OPP DRB%,LG OPP FT/FGA,LG Arena,LG Attendance,MP/G,FG/G,FGA/G,FG%/G,3P/G,3PA/G,3P%/G,2P/G,2PA/G,2P%/G,FT/G,FTA/G,FT%/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,LG MP/G,LG FG/G,LG FGA/G,LG FG%/G,LG 3P/G,LG 3PA/G,LG 3P%/G,LG 2P/G,LG 2PA/G,LG 2P%/G,LG FT/G,LG FTA/G,LG FT%/G,LG ORB/G,LG DRB/G,LG TRB/G,LG AST/G,LG STL/G,LG BLK/G,LG TOV/G,LG PF/G,LG PTS/G,OPP MP/G,OPP FG/G,OPP FGA/G,OPP FG%/G,OPP 3P/G,OPP 3PA/G,OPP 3P%/G,OPP 2P/G,OPP 2PA/G,OPP 2P%/G,OPP FT/G,OPP FTA/G,OPP FT%/G,OPP ORB/G,OPP DRB/G,OPP TRB/G,OPP AST/G,OPP STL/G,OPP BLK/G,OPP TOV/G,OPP PF/G,OPP PTS/G,LG OPP MP/G,LG OPP FG/G,LG OPP FGA/G,LG OPP FG%/G,LG OPP 3P/G,LG OPP 3PA/G,LG OPP 3P%/G,LG OPP 2P/G,LG OPP 2PA/G,LG OPP 2P%/G,LG OPP FT/G,LG OPP FTA/G,LG OPP FT%/G,LG OPP ORB/G,LG OPP DRB/G,LG OPP TRB/G,LG OPP AST/G,LG OPP STL/G,LG OPP BLK/G,LG OPP TOV/G,LG OPP PF/G,LG OPP PTS/G
0,ATL,2017,43,39,39,43,-0.85,-0.38,-1.23,104.9,105.7,97.4,0.295,0.309,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,Philips Arena,"654,306",11,19,19,19,19.0,25.0,20.0,27.0,4.0,10.0,4.0,15.0,19.0,28.0,15.0,13.0,8.0,3.0,19.0,5.0,None,26,242.4,38.1,84.4,0.451,8.9,26.1,0.341,29.2,58.3,0.501,18.1,24.9,0.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2,4,23,22,18.0,20,16,23.0,18,17,14.0,13,5,28.0,14,10,9,10,7,14,28,6,22,242.4,38.8,87.3,0.444,10.9,30.5,0.35700000000000004,27.9,56.7,0.491,15.6,20.2,0.772,10.7,33.2,43.9,23.4,9.0,5.2,15.4,21.6,104.0,4,13,23,5.0,28,29,16.0,6,9,6.0,4,4,16.0,22,15,16,19,29,22,2,3,10
1,BOS,2017,53,29,48,34,2.63,-0.39,2.25,111.2,108.4,96.8,0.273,0.39299999999999996,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,TD Garden,"760,690",4,27,8,8,8.0,26.0,8.0,8.0,13.0,13.0,17.0,3.0,9.0,9.0,25.0,9.0,5.0,17.0,27.0,23.0,None,12,240.9,38.6,85.1,0.45399999999999996,12.0,33.4,0.359,26.6,51.7,0.515,18.7,23.2,0.807,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0,25,21,18,16.0,3,3,14.0,28,28,8.0,10,15,3.0,22,22,27,4,18,23,8,21,7,240.9,38.6,85.8,0.45,9.0,27.0,0.332,29.7,58.8,0.505,19.1,24.9,0.769,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4,25,12,15,9.0,7,14,2.0,14,13,19.0,25,25,9.0,25,20,25,12,17,23,17,11,15
2,BRK,2017,20,62,24,58,-6.73,-0.01,-6.74,104.1,110.7,101.3,0.289,0.371,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212,Barclays Center,"632,608",30,1,28,28,29.0,14.0,30.0,28.0,23.0,1.0,7.0,4.0,17.0,29.0,28.0,6.0,17.0,28.0,18.0,15.0,None,28,240.9,37.8,85.2,0.444,10.7,31.6,0.33799999999999997,27.1,53.6,0.506,19.4,24.6,0.7879999999999999,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,105.8,25,25,17,24.0,6,4,26.0,25,25,11.0,4,7,9.0,26,1,10,20,21,18,29,25,12,240.9,41.6,90.8,0.45799999999999996,10.0,27.2,0.366,31.7,63.6,0.498,19.3,25.0,0.772,11.0,36.2,47.2,23.0,9.5,5.6,13.3,20.4,112.5,25,29,30,18.0,20,17,21.0,29,30,10.0,26,26,15.0,27,29,29,16,30,30,21,9,29
3,CHO,2017,36,46,42,40,0.2,-0.26,-0.07,108.8,108.6,95.7,0.27899999999999997,0.335,0.501,10.7,19.9,0.22699999999999998,0.523,12.1,79.6,0.16399999999999998,Spectrum Center,"710,643",20,11,15,15,15.0,20.0,15.0,14.0,14.0,19.0,12.0,8.0,23.0,1.0,27.0,7.0,23.0,22.0,2.0,1.0,None,17,241.8,37.7,85.4,0.442,10.0,28.6,0.35100000000000003,27.7,56.7,0.488,19.4,23.8,0.815,8.8,34.8,43.6,23.1,7.0,4.8,11.5,16.6,104.9,10,26,15,26.0,11,9,18.0,22,21,27.0,5,10,1.0,26,4,16,11,27,17,1,1,16,241.8,39.5,86.5,0.456,11.6,31.4,0.369,27.9,55.1,0.506,14.2,18.2,0.7759999999999999,8.9,35.5,44.4,24.5,6.6,5.5,13.1,19.9,104.7,10,18,21,15.0,30,30,25.0,7,5,21.0,1,1,21.0,3,26,22,28,2,28,23,15,13
4,CHI,2017,41,41,42,40,0.43,-0.39,0.03,107.4,107.0,95.3,0.259,0.256,0.48700000000000004,12.3,27.0,0.20600000000000002,0.507,12.4,76.8,0.16899999999999998,United Center,"888,882",15,14,14,14,14.0,27.0,14.0,20.0,6.0,20.0,21.0,28.0,30.0,10.0,4.0,19.0,10.0,20.0,11.0,2.0,None,1,241.2,38.6,87.1,0.444,7.6,22.3,0.34,31.0,64.8,0.479,18.0,22.5,0.7979999999999999,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9,18,20,8,25.0,28,29,24.0,6,3,29.0,15,19,6.0,2,9,3,14,15,16,12,2,23,241.2,39.5,86.6,0.456,8.9,25.9,0.345,30.5,60.7,0.503,14.6,19.0,0.77,10.3,32.9,43.2,23.6,7.3,4.6,13.4,18.8,102.4,18,17,22,14.0,6,9,6.0,24,24,16.0,2,2,11.0,17,12,13,23,10,12,20,25,6
5,CLE,2017,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,96.2,0.275,0.39899999999999997,0.547,12.6,21.9,0.20600000000000002,0.516,11.4,75.8,0.174,Quicken Loans Arena,"843,042",5,23,7,7,7.0,24.0,7.0,3.0,21.0,15.0,15.0,2.0,2.0,14.0,20.0,20.0,18.0,29.0,22.0,3.0,None,2,242.4,39.9,84.9,0.47,13.0,33.9,0.384,26.9,51.0,0.528,17.5,23.3,0.748,9.3,34.4,43.7,22.7,6.6,4.0,13.7,18.1,110.3,4,5,19,5.0,2,2,2.0,27,29,3.0,19,13,23.0,21,7,12,13,30,25,14,4,4,242.4,40.6,88.8,0.45799999999999996,10.4,28.7,0.361,30.3,60.1,0.504,15.5,20.0,0.773,11.0,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2,4,26,26,16.0,26,24,18.0,22,22,17.0,3,3,20.0,27,16,20,29,8,8,28,6,20
6,DAL,2017,33,49,33,49,-2.93,0.4,-2.53,105.6,108.8,92.2,0.225,0.366,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,American Airlines Center,"811,366",22,9,23,23,23.0,7.0,23.0,25.0,15.0,29.0,29.0,5.0,18.0,3.0,30.0,28.0,27.0,1.0,7.0,20.0,None,4,241.2,36.2,82.3,0.44,10.7,30.2,0.355,25.5,52.2,0.489,14.8,18.5,0.8009999999999999,7.9,30.7,38.6,20.8,7.5,3.7,11.9,19.1,97.9,18,30,27,29.0,5,6,16.0,30,27,25.0,29,30,4.0,30,30,30,27,19,30,2,9,30,241.2,37.0,79.0,0.469,9.6,25.3,0.38,27.4,53.7,0.51,17.2,22.3,0.772,8.9,35.6,44.5,21.3,6.5,3.4,14.9,19.4,100.8,18,4,2,27.0,12,7,29.0,2,3,23.0,10,11,18.0,2,27,24,5,1,2,6,21,4
7,DEN,2017,40,42,42,40,0.51,0.19,0.7,113.2,112.7,98.3,0.276,0.32899999999999996,0.53,13.2,27.3,0.214,0.532,10.9,78.7,0.19399999999999998,Pepsi Center,"605,585",18,13,13,13,12.0,10.0,13.0,4.0,29.0,7.0,13.0,10.0,5.0,20.0,2.0,15.0,28.0,30.0,5.0,7.0,None,30,240.9,41.2,87.7,0.469,10.6,28.8,0.368,30.6,58.9,0.519,18.7,24.2,0.774,11.8,34.6,46.4,25.3,6.9,3.9,15.0,19.1,111.7,25,3,4,6.0,7,8,11.0,10,14,5.0,9,8,17.0,5,6,2,2,28,27,23,9,3,240.9,42.1,88.4,0.47700000000000004,9.9,26.3,0.375,32.3,62.1,0.519,17.1,21.9,0.782,9.4,31.4,40.8,24.0,8.3,4.9,12.0,20.2,111.2,25,30,25,29.0,16,10,28.0,30,29,27.0,9,9,26.0,7,3,4,25,22,15,30,13,27
8,DET,2017,37,45,38,44,-1.12,-0.17,-1.29,106.0,107.1,95.0,0.218,0.263,0.49200000000000005,10.9,24.1,0.157,0.516,12.1,81.2,0.19699999999999998,The Palace of Auburn Hills,"655,141",19,12,21,21,21.0,18.0,21.0,24.0,8.0,22.0,30.0,27.0,27.0,2.0,12.0,30.0,19.0,23.0,1.0,10.0,None,25,241.5,39.9,88.8,0.449,7.7,23.4,0.33,32.2,65.5,0.49200000000000005,13.9,19.3,0.7190000000000001,11.1,34.6,45.7,21.1,7.0,3.8,11.9,17.9,101.3,13,7,1,22.0,27,26,28.0,2,2,23.0,30,29,29.0,8,5,4,24,25,29,3,3,26,241.5,38.3,83.3,0.46,9.4,25.6,0.366,29.0,57.7,0.502,16.4,21.0,0.78,8.0,34.9,42.9,23.5,6.7,4.1,12.8,17.5,102.5,13,9,8,20.0,11,8,21.0,11,10,14.0,8,8,24.0,1,25,10,21,4,6,27,30,7
9,GSW,2017,67,15,67,15,11.63,-0.28,11.35,115.6,104.0,99.8,0.259,0.359,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,Oracle Arena,"803,436",1,30,1,1,1.0,22.0,1.0,1.0,2.0,4.0,20.0,6.0,1.0,22.0,18.0,21.0,1.0,8.0,29.0,11.0,None,8,241.2,43.1,87.1,0.495,12.0,31.2,0.38299999999999995,31.1,55.8,0.557,17.8,22.6,0.7879999999999999,9.4,35.0,44.4,30.4,9.6,6.8,14.8,19.3,115.9,18,1,9,1.0,4,5,3.0,5,22,1.0,17,18,11.0,20,3,7,1,1,1,22,12,1,241.2,38.8,89.2,0.435,9.0,27.8,0.324,29.8,61.4,0.485,17.7,23.2,0.7609999999999999,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3,18,14,29,1.0,8,20,1.0,17,27,3.0,14,15,3.0,30,6,14,14,28,4,1,22,11
10,HOU,2017,55,27,55,27,5.77,0.08,5.84,114.7,109.0,100.0,0.304,0.462,0.545,13.3,24.6,0.233,0.519,13.2,75.8,0.19399999999999998,Toyota Center,"695,903",3,28,3,3,3.0,12.0,3.0,2.0,18.0,3.0,2.0,1.0,3.0,24.0,10.0,2.0,21.0,11.0,21.0,8.0,None,21,241.2,40.3,87.2,0.462,14.4,40.3,0.35700000000000004,25.9,46.9,0.552,20.3,26.5,0.7659999999999999,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3,18,4,7,12.0,1,1,15.0,29,30,2.0,2,1,20.0,9,15,8,3,8,20,25,15,2,241.2,41.2,88.9,0.46299999999999997,10.0,29.1,0.34299999999999997,31.2,59.7,0.522,17.3,22.2,0.778,10.7,33.4,44.1,24.1,8.5,5.0,15.1,20.4,109.6,18,27,27,23.0,22,25,4.0,27,18,28.0,11,10,23.0,23,17,19,27,24,17,5,8,26
11,IND,2017,42,40,40,42,-0.22,-0.42,-0.64,108.6,108.8,95.9,0.261,0.272,0.516,12.8,21.2,0.212,0.512,13.6,75.5,0.225,Bankers Life Fieldhouse,"684,578",13,17,17,17,17.0,28.0,19.0,15.0,16.0,18.0,19.0,26.0,13.0,16.0,24.0,16.0,15.0,6.0,25.0,25.0,None,22,242.1,39.3,84.5,0.465,8.6,23.0,0.376,30.6,61.5,0.498,17.9,22.1,0.81,9.0,33.0,42.0,22.5,8.2,5.0,13.8,19.5,105.1,7,15,20,10.0,23,27,4.0,9,9,17.0,16,23,2.0,23,21,26,16,9,9,16,13,15,242.1,38.0,84.3,0.451,10.4,29.1,0.355,27.6,55.1,0.501,19.0,24.1,0.789,10.7,33.5,44.3,22.3,8.1,5.0,14.9,19.5,105.3,7,7,11,10.0,25,25,13.0,5,6,12.0,24,20,30.0,24,19,21,11,20,16,6,20,14
12,LAC,2017,51,31,52,30,4.29,0.13,4.42,112.7,108.2,96.1,0.312,0.32899999999999996,0.537,12.0,21.5,0.233,0.506,12.1,76.9,0.21100000000000002,STAPLES Center,"782,609",5,23,4,4,4.0,11.0,4.0,5.0,12.0,16.0,1.0,9.0,4.0,6.0,23.0,3.0,6.0,21.0,10.0,13.0,None,10,240.9,39.5,83.2,0.475,10.3,27.4,0.375,29.3,55.8,0.525,19.3,26.0,0.745,9.0,34.0,43.0,22.5,7.5,4.2,13.0,19.8,108.7,25,10,26,2.0,9,11,7.0,17,23,4.0,6,3,27.0,24,11,21,15,20,21,7,14,6,240.9,38.6,85.4,0.452,9.2,26.3,0.35,29.4,59.1,0.49700000000000005,18.0,23.4,0.772,10.2,32.9,43.1,23.1,7.0,3.1,13.2,22.4,104.4,25,11,14,11.0,9,11,8.0,12,14,9.0,16,16,16.0,14,13,12,17,7,1,22,1,12
13,LAL,2017,26,56,24,58,-6.88,0.58,-6.29,106.0,113.0,98.5,0.259,0.295,0.501,13.5,25.0,0.195,0.542,13.0,75.8,0.213,STAPLES Center,"776,917",28,3,30,30,30.0,1.0,28.0,23.0,30.0,6.0,22.0,19.0,22.0,26.0,7.0,24.0,30.0,14.0,23.0,16.0,None,11,240.3,39.3,87.4,0.45,8.9,25.7,0.34600000000000003,30.4,61.6,0.493,17.0,22.6,0.754,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6,30,13,6,21.0,19,19,22.0,11,7,22.0,23,17,21.0,7,26,17,26,5,28,26,22,17,240.3,41.5,86.0,0.483,10.1,27.4,0.37,31.4,58.6,0.536,18.3,24.0,0.762,10.3,34.2,44.4,25.7,8.5,5.4,14.5,18.5,111.5,30,28,17,30.0,24,19,26.0,28,12,30.0,18,19,5.0,17,23,23,30,25,26,11,28,28
14,MEM,2017,43,39,42,40,0.49,0.47,0.96,107.7,107.1,92.3,0.28,0.316,0.491,12.1,24.8,0.21899999999999997,0.506,13.6,77.5,0.256,FedEx Forum,"677,314",11,19,12,12,13.0,5.0,11.0,19.0,7.0,28.0,11.0,13.0,28.0,7.0,9.0,11.0,7.0,5.0,8.0,29.0,None,23,242.7,36.4,83.6,0.435,9.4,26.5,0.354,27.0,57.1,0.473,18.3,23.4,0.784,10.8,32.0,42.8,21.3,8.0,4.2,12.9,22.4,100.5,2,29,25,30.0,15,14,17.0,26,20,30.0,12,12,12.0,10,27,24,21,13,22,6,29,29,242.7,34.9,78.8,0.44299999999999995,9.9,28.0,0.354,25.0,50.8,0.49200000000000005,20.2,26.9,0.753,9.3,32.8,42.1,20.1,7.0,5.0,14.3,20.8,100.0,2,1,1,2.0,19,21,11.0,1,1,7.0,28,29,2.0,6,11,7,3,6,18,13,4,3
15,MIA,2017,41,41,44,38,1.06,-0.29,0.77,107.8,106.7,95.2,0.251,0.314,0.512,12.4,24.2,0.177,0.496,12.6,76.4,0.22,AmericanAirlines Arena,"805,400",15,14,10,10,10.0,23.0,12.0,17.0,5.0,21.0,26.0,14.0,15.0,11.0,11.0,29.0,4.0,16.0,14.0,22.0,None,7,241.2,39.0,85.8,0.455,9.9,27.0,0.365,29.2,58.8,0.496,15.2,21.6,0.706,10.6,33.0,43.6,21.2,7.2,5.7,13.4,20.5,103.2,18,18,14,15.0,12,12,12.0,18,15,18.0,28,26,30.0,11,20,15,22,22,3,11,20,21,241.2,37.9,84.2,0.45,7.8,22.7,0.34299999999999997,30.1,61.5,0.49,18.5,23.7,0.782,10.2,33.4,43.6,19.6,6.8,4.9,13.7,18.7,102.1,18,6,10,7.0,1,1,3.0,20,28,5.0,19,17,27.0,14,18,15,2,5,14,19,27,5
16,MIL,2017,42,40,40,42,-0.18,-0.26,-0.45,109.1,109.3,94.5,0.27399999999999997,0.29,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,BMO Harris Bradley Center,"648,952",13,17,16,16,16.0,21.0,17.0,13.0,19.0,26.0,16.0,21.0,7.0,21.0,22.0,17.0,20.0,4.0,26.0,19.0,None,27,241.2,38.8,81.9,0.474,8.8,23.7,0.37,30.0,58.2,0.516,17.2,22.4,0.768,8.8,31.6,40.4,24.2,8.1,5.3,14.0,20.2,103.6,18,19,29,4.0,22,24,10.0,14,19,6.0,21,20,19.0,25,28,29,5,10,6,18,17,20,241.2,38.0,83.0,0.45799999999999996,10.0,28.2,0.353,28.0,54.8,0.512,17.9,23.2,0.7709999999999999,10.3,32.1,42.5,24.1,7.4,4.6,14.7,19.3,103.8,18,8,5,17.0,20,22,9.0,8,4,24.0,15,14,12.0,19,8,8,26,13,9,9,24,9
17,MIN,2017,31,51,38,44,-1.11,0.47,-0.64,110.8,112.0,94.6,0.287,0.249,0.511,12.9,27.2,0.22899999999999998,0.535,13.2,75.9,0.212,Target Center,"607,203",24,6,20,20,20.0,4.0,18.0,10.0,27.0,25.0,9.0,30.0,16.0,18.0,3.0,5.0,29.0,12.0,20.0,14.0,None,29,241.5,39.5,84.4,0.467,7.3,21.0,0.349,32.1,63.4,0.507,19.3,24.2,0.799,11.4,31.0,42.4,23.7,8.0,4.5,14.0,20.1,105.6,13,12,21,8.0,30,30,20.0,3,5,10.0,6,8,5.0,6,29,25,9,12,19,19,16,13,241.5,39.6,83.3,0.475,9.9,27.0,0.366,29.7,56.3,0.528,17.6,22.9,0.768,9.8,30.6,40.4,23.1,7.7,5.0,14.3,20.5,106.7,13,20,7,28.0,18,14,23.0,15,8,29.0,13,13,8.0,10,1,2,18,18,19,14,7,18
18,NOP,2017,34,48,35,47,-2.1,0.41,-1.69,105.2,107.4,98.0,0.256,0.308,0.504,11.7,18.5,0.192,0.509,12.4,76.8,0.177,Smoothie King Center,"663,099",21,10,22,22,22.0,6.0,22.0,26.0,9.0,8.0,24.0,16.0,20.0,4.0,29.0,25.0,12.0,19.0,13.0,4.0,None,24,242.7,39.1,87.0,0.45,9.4,26.8,0.35,29.8,60.2,0.495,16.7,22.3,0.75,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3,2,17,12,20.0,14,13,19.0,15,12,21.0,25,21,22.0,29,1,13,12,16,5,5,5,18,242.7,40.1,89.0,0.45,10.5,29.8,0.353,29.5,59.2,0.499,15.8,20.7,0.762,10.6,37.7,48.3,23.4,7.4,4.2,14.0,19.3,106.4,2,23,28,7.0,27,27,10.0,13,17,11.0,5,5,4.0,21,30,30,20,11,7,16,23,17
19,NYK,2017,31,51,31,51,-3.67,-0.2,-3.87,107.7,111.5,96.0,0.239,0.27899999999999997,0.496,12.4,26.6,0.188,0.511,11.7,74.1,0.214,Madison Square Garden (IV),"810,741",24,6,24,24,24.0,19.0,25.0,18.0,26.0,17.0,28.0,25.0,25.0,12.0,5.0,26.0,14.0,26.0,30.0,18.0,None,5,242.1,39.6,88.5,0.447,8.6,24.7,0.348,31.0,63.8,0.485,16.6,21.1,0.7879999999999999,12.0,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3,7,8,3,23.0,24,21,21.0,8,4,28.0,26,28,10.0,3,17,5,19,23,4,17,19,18,242.1,39.7,87.4,0.455,9.8,28.2,0.348,29.9,59.1,0.506,18.7,24.2,0.7709999999999999,11.6,33.1,44.7,21.8,7.5,4.6,12.9,18.5,108.0,7,22,24,13.0,15,23,7.0,19,16,20.0,22,22,13.0,29,14,26,8,15,10,25,29,23
20,OKC,2017,47,35,43,39,0.76,0.39,1.14,108.3,107.5,97.8,0.295,0.295,0.5,13.2,27.9,0.22,0.511,12.5,79.0,0.218,Chesapeake Energy Arena,"746,323",10,21,11,11,11.0,8.0,10.0,16.0,10.0,9.0,4.0,18.0,24.0,19.0,1.0,10.0,13.0,18.0,3.0,21.0,None,14,241.5,39.5,87.4,0.452,8.4,25.8,0.327,31.0,61.6,0.504,19.2,25.8,0.745,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6,13,11,5,17.0,26,18,30.0,7,8,13.0,8,4,26.0,1,7,1,25,14,10,24,24,11,241.5,39.2,85.3,0.45899999999999996,8.8,24.8,0.35600000000000004,30.4,60.5,0.502,18.6,24.3,0.764,9.1,31.5,40.6,21.4,8.5,5.5,13.8,20.7,105.8,13,16,13,19.0,4,4,14.0,23,23,13.0,21,24,6.0,5,4,3,7,25,28,18,5,16
21,ORL,2017,29,53,24,58,-6.57,-0.04,-6.61,103.7,110.5,96.8,0.24600000000000002,0.3,0.489,12.1,21.6,0.184,0.523,11.9,77.4,0.201,Amway Center,"727,875",26,5,29,29,28.0,15.0,29.0,29.0,22.0,12.0,27.0,17.0,29.0,8.0,21.0,27.0,22.0,24.0,9.0,12.0,None,15,241.5,38.3,87.0,0.44,8.5,26.1,0.32799999999999996,29.7,60.9,0.488,16.0,21.4,0.747,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1,13,22,11,28.0,25,15,29.0,16,10,26.0,27,27,25.0,17,16,20,18,24,15,9,11,27,241.5,40.3,86.4,0.467,9.7,26.4,0.36700000000000005,30.6,60.0,0.51,17.4,22.7,0.7659999999999999,9.7,35.8,45.5,23.6,7.6,5.1,13.0,18.7,107.6,13,25,20,25.0,13,13,24.0,25,21,22.0,12,12,7.0,8,28,28,22,16,20,24,26,22
22,PHI,2017,28,54,26,56,-5.7,-0.14,-5.83,103.2,108.9,98.5,0.258,0.349,0.501,14.9,22.4,0.19899999999999998,0.512,13.5,75.3,0.23399999999999999,Wells Fargo Center,"710,557",27,4,27,27,27.0,17.0,27.0,30.0,17.0,5.0,23.0,7.0,21.0,30.0,19.0,22.0,16.0,10.0,28.0,27.0,None,18,241.8,37.7,85.3,0.442,10.1,29.8,0.34,27.5,55.5,0.496,17.0,22.0,0.7709999999999999,9.8,33.0,42.8,23.8,8.4,5.1,16.7,21.9,102.4,10,27,16,27.0,10,7,25.0,23,24,19.0,24,24,18.0,17,19,23,8,3,7,30,28,25,241.8,39.6,85.9,0.461,8.9,24.9,0.35700000000000004,30.7,61.0,0.503,20.1,26.0,0.773,10.8,34.2,45.0,22.7,8.6,5.4,15.1,19.6,108.1,10,19,16,21.0,5,5,15.0,26,25,15.0,27,27,19.0,26,24,27,13,27,27,4,19,24
