,Team,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OPP eFG%,OPP TOV%,OPP DRB%,OPP FT/FGA,Arena,Attendance,LG W,LG L,LG PW,LG PL,LG MOV,LG SOS,LG SRS,LG ORtg,LG DRtg,LG Pace,LG FTr,LG 3PAr,LG eFG%,LG TOV%,LG ORB%,LG FT/FGA,LG OPP eFG%,LG OPP TOV%,LG OPP DRB%,LG OPP FT/FGA,LG Arena,LG Attendance,MP/G,FG/G,FGA/G,FG%/G,3P/G,3PA/G,3P%/G,2P/G,2PA/G,2P%/G,FT/G,FTA/G,FT%/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,LG MP/G,LG FG/G,LG FGA/G,LG FG%/G,LG 3P/G,LG 3PA/G,LG 3P%/G,LG 2P/G,LG 2PA/G,LG 2P%/G,LG FT/G,LG FTA/G,LG FT%/G,LG ORB/G,LG DRB/G,LG TRB/G,LG AST/G,LG STL/G,LG BLK/G,LG TOV/G,LG PF/G,LG PTS/G,OPP MP/G,OPP FG/G,OPP FGA/G,OPP FG%/G,OPP 3P/G,OPP 3PA/G,OPP 3P%/G,OPP 2P/G,OPP 2PA/G,OPP 2P%/G,OPP FT/G,OPP FTA/G,OPP FT%/G,OPP ORB/G,OPP DRB/G,OPP TRB/G,OPP AST/G,OPP STL/G,OPP BLK/G,OPP TOV/G,OPP PF/G,OPP PTS/G,LG OPP MP/G,LG OPP FG/G,LG OPP FGA/G,LG OPP FG%/G,LG OPP 3P/G,LG OPP 3PA/G,LG OPP 3P%/G,LG OPP 2P/G,LG OPP 2PA/G,LG OPP 2P%/G,LG OPP FT/G,LG OPP FTA/G,LG OPP FT%/G,LG OPP ORB/G,LG OPP DRB/G,LG OPP TRB/G,LG OPP AST/G,LG OPP STL/G,LG OPP BLK/G,LG OPP TOV/G,LG OPP PF/G,LG OPP PTS/G
48,NOP,2018,48,34,44,38,1.3,0.18,1.48,109.6,108.3,100.5,0.237,0.319,0.541,13.3,20.0,0.183,0.513,12.5,76.7,0.175,Smoothie King Center,"673,920",8,20,13,13,13.0,6.0,12.0,10.0,14.0,1.0,22.0,20.0,4.0,17.0,28.0,22.0,9.0,22.0,20.0,8.0,None,25,243.4,42.7,88.3,0.483,10.2,28.2,0.36200000000000004,32.5,60.1,0.54,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8.0,5.9,14.9,19.1,111.7,1,2,3,2.0,18,18,13.0,2,6,4.0,19,17,15.0,26,3,10,3,8,3,22,8,3,243.4,41.7,91.9,0.45399999999999996,10.9,30.6,0.355,30.9,61.3,0.503,16.1,20.5,0.784,10.8,34.7,45.5,23.7,8.2,4.2,14.5,20.4,110.4,1,28,30,9.0,20,25,8.0,28,29,10.0,12,9,28.0,29,23,25,20,22,4,11,13,29
49,NYK,2018,29,53,32,50,-3.56,0.03,-3.53,107.1,110.7,96.8,0.21600000000000003,0.266,0.51,13.3,24.1,0.17,0.522,12.2,76.7,0.20800000000000002,Madison Square Garden (IV),"792,608",22,9,23,23,23.0,14.0,23.0,20.0,23.0,15.0,28.0,29.0,24.0,20.0,5.0,26.0,14.0,27.0,21.0,23.0,None,9,241.8,40.7,87.7,0.46399999999999997,8.2,23.3,0.35200000000000004,32.5,64.4,0.504,14.9,19.0,0.787,10.5,33.6,44.0,23.3,6.7,5.1,14.7,20.5,104.5,8,9,5,12.0,29,29,27.0,3,1,18.0,24,28,5.0,5,19,13,13,29,8,21,22,18,241.8,39.4,86.3,0.457,11.2,30.4,0.368,28.2,55.9,0.505,18.0,23.2,0.774,10.2,33.0,43.2,24.0,8.2,4.7,13.4,18.4,108.0,8,16,17,11.0,24,22,20.0,9,10,11.0,24,23,22.0,21,10,16,22,22,14,28,28,20
50,OKC,2018,48,34,50,32,3.41,0.0,3.42,110.7,107.2,96.7,0.275,0.345,0.514,12.4,27.7,0.19699999999999998,0.525,14.7,77.4,0.193,Chesapeake Energy Arena,"746,322",8,20,7,7,7.0,15.0,6.0,7.0,9.0,17.0,6.0,12.0,17.0,9.0,1.0,14.0,18.0,1.0,16.0,19.0,None,13,241.8,39.9,88.1,0.45299999999999996,10.7,30.4,0.354,29.1,57.7,0.505,17.3,24.2,0.716,12.5,32.6,45.1,21.3,9.1,5.0,14.0,20.2,107.9,8,13,4,18.0,15,11,24.0,15,16,16.0,10,4,29.0,1,26,5,28,1,11,13,21,12,241.8,38.5,84.0,0.45799999999999996,11.2,30.6,0.36700000000000005,27.3,53.4,0.511,16.2,21.1,0.769,9.5,32.6,42.2,23.3,7.7,4.6,16.0,21.3,104.4,8,9,7,12.0,25,24,19.0,3,3,12.0,14,13,17.0,11,6,5,14,15,9,1,3,10
51,ORL,2018,25,57,28,54,-4.82,-0.1,-4.92,105.2,110.1,98.1,0.23800000000000002,0.342,0.512,13.3,20.0,0.18,0.525,12.8,75.6,0.187,Amway Center,"734,531",26,5,25,25,25.0,19.0,25.0,25.0,18.0,11.0,21.0,14.0,21.0,19.0,29.0,23.0,17.0,17.0,30.0,12.0,None,16,240.6,38.8,85.9,0.452,10.3,29.3,0.35100000000000003,28.5,56.5,0.504,15.5,20.5,0.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4,23,20,17,19.0,17,14,28.0,19,18,17.0,23,21,21.0,25,24,26,11,20,13,17,11,24,240.6,40.9,87.5,0.46799999999999997,10.0,27.6,0.36200000000000004,30.9,60.0,0.516,16.4,21.2,0.773,10.6,35.3,45.9,24.4,7.8,4.9,14.2,19.0,108.2,23,22,21,20.0,8,8,14.0,29,26,17.0,16,14,21.0,27,26,28,23,18,19,17,24,21
52,PHI,2018,52,30,53,29,4.5,-0.2,4.3,109.5,105.0,99.8,0.263,0.344,0.535,14.6,25.3,0.198,0.49200000000000005,12.6,78.6,0.218,Wells Fargo Center,"833,503",5,26,5,5,4.0,25.0,5.0,12.0,4.0,4.0,10.0,13.0,7.0,30.0,3.0,12.0,1.0,18.0,9.0,28.0,None,3,241.2,40.8,86.6,0.47200000000000003,11.0,29.8,0.369,29.9,56.7,0.526,17.1,22.8,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,16,5,13,8.0,12,12,10.0,11,17,7.0,11,10,23.0,3,1,1,2,7,9,30,29,7,241.2,38.0,87.6,0.434,10.1,29.6,0.342,27.9,58.0,0.48200000000000004,19.1,25.6,0.745,10.0,32.2,42.2,21.7,8.5,5.1,14.3,20.4,105.3,16,5,22,1.0,9,17,2.0,5,22,1.0,29,29,2.0,20,4,6,5,26,21,15,11,11
53,PHO,2018,21,61,19,63,-9.37,0.57,-8.8,103.5,112.8,100.3,0.275,0.32,0.495,13.9,22.5,0.203,0.5329999999999999,11.9,76.5,0.212,Talking Stick Resort Arena,"690,576",30,1,30,30,30.0,1.0,30.0,30.0,30.0,3.0,7.0,19.0,30.0,26.0,14.0,7.0,24.0,28.0,23.0,24.0,None,23,240.3,38.5,87.1,0.442,9.3,27.9,0.33399999999999996,29.1,59.2,0.49200000000000005,17.7,23.9,0.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22.0,103.9,27,24,7,28.0,23,20,30.0,15,9,24.0,7,6,27.0,8,15,12,29,27,21,28,28,21,240.3,41.8,88.7,0.47100000000000003,10.9,29.2,0.373,30.9,59.5,0.519,18.8,24.6,0.7659999999999999,10.4,35.4,45.9,23.3,8.7,6.0,13.4,20.9,113.3,27,29,26,26.0,22,15,26.0,27,24,20.0,28,28,15.0,26,27,29,13,29,30,27,4,30
54,POR,2018,49,33,48,34,2.6,0.0,2.6,109.1,106.4,96.5,0.24,0.324,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,Moda Center,"795,750",7,24,9,9,9.0,16.0,9.0,15.0,8.0,19.0,19.0,18.0,23.0,7.0,10.0,17.0,4.0,29.0,5.0,18.0,None,8,240.9,39.3,87.0,0.452,10.3,28.1,0.366,29.0,58.8,0.493,16.7,20.9,0.8,10.2,35.3,45.5,19.5,7.0,5.2,13.5,19.5,105.6,18,15,8,20.0,16,19,11.0,17,11,23.0,15,18,3.0,9,5,3,30,26,7,8,13,16,240.9,38.4,85.9,0.447,9.7,26.6,0.364,28.7,59.3,0.484,16.6,22.0,0.755,9.3,33.6,42.9,20.2,7.3,5.1,12.6,19.1,103.0,18,7,16,4.0,7,5,16.0,11,23,2.0,18,18,4.0,10,16,13,2,10,22,29,23,5
55,SAC,2018,27,55,23,59,-6.99,0.39,-6.6,103.7,111.1,94.9,0.19399999999999998,0.278,0.502,12.8,21.5,0.14300000000000002,0.542,13.5,77.6,0.19899999999999998,Golden 1 Center,"714,680",24,6,29,29,28.0,3.0,28.0,29.0,28.0,30.0,30.0,28.0,27.0,13.0,20.0,30.0,30.0,10.0,14.0,20.0,None,18,240.9,38.8,86.1,0.45,9.0,24.0,0.375,29.8,62.1,0.479,12.3,16.7,0.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20.0,98.8,18,21,15,22.0,26,28,3.0,12,3,29.0,30,30,28.0,19,29,28,25,11,25,9,19,30,240.9,38.7,82.4,0.47,11.9,31.5,0.377,26.8,50.9,0.527,16.4,21.5,0.765,9.1,34.7,43.8,23.6,7.8,4.7,14.3,17.3,105.8,18,10,2,25.0,29,28,29.0,2,1,26.0,17,17,13.0,7,23,20,18,17,14,12,30,14
56,SAS,2018,47,35,49,33,2.89,0.0,2.89,107.9,104.8,95.0,0.245,0.282,0.507,12.2,23.7,0.18899999999999997,0.507,13.2,78.6,0.17,AT&T Center,"754,562",12,18,8,8,8.0,17.0,8.0,17.0,3.0,28.0,17.0,27.0,26.0,5.0,6.0,18.0,8.0,12.0,8.0,3.0,None,12,240.6,39.0,85.4,0.457,8.5,24.1,0.35200000000000004,30.6,61.2,0.499,16.1,20.9,0.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7,23,17,22,16.0,28,27,26.0,9,5,20.0,19,18,13.0,6,14,11,15,14,4,4,1,27,240.6,38.2,84.3,0.45299999999999996,9.1,26.3,0.348,29.0,58.0,0.501,14.3,18.9,0.759,9.2,33.3,42.5,21.8,7.6,3.9,14.1,19.7,99.8,23,6,8,8.0,3,4,4.0,16,21,8.0,1,3,9.0,8,14,10,8,14,2,20,18,1
57,TOR,2018,59,23,60,22,7.78,-0.49,7.29,113.8,105.9,97.4,0.25,0.377,0.539,12.1,23.0,0.198,0.501,13.0,77.7,0.212,Air Canada Centre,"813,431",2,29,2,2,2.0,30.0,2.0,2.0,5.0,14.0,16.0,5.0,5.0,4.0,11.0,11.0,3.0,15.0,13.0,25.0,None,4,241.8,41.3,87.4,0.47200000000000003,11.8,33.0,0.358,29.5,54.4,0.541,17.3,21.8,0.794,9.8,34.2,44.0,24.3,7.6,6.1,13.4,21.7,111.7,8,3,6,7.0,4,3,18.0,13,25,3.0,9,13,4.0,14,11,14,6,18,2,6,27,4,241.8,38.4,85.6,0.449,8.9,25.0,0.35700000000000004,29.5,60.6,0.486,18.2,23.7,0.767,9.8,32.6,42.4,21.8,7.2,4.9,14.3,19.9,103.9,8,8,14,5.0,1,2,11.0,21,27,3.0,26,27,16.0,17,5,7,7,5,18,12,16,6
58,UTA,2018,48,34,53,29,4.3,0.17,4.47,108.4,103.9,95.7,0.26,0.35700000000000004,0.527,13.7,21.5,0.20199999999999999,0.506,14.0,79.8,0.19,Vivint Smart Home Arena,"734,806",8,20,4,4,5.0,7.0,4.0,16.0,2.0,25.0,12.0,10.0,9.0,24.0,17.0,8.0,6.0,4.0,4.0,15.0,None,15,240.9,38.3,82.9,0.462,10.8,29.6,0.366,27.5,53.3,0.515,16.8,21.5,0.779,9.0,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1,18,26,29,13.0,13,13,12.0,25,26,12.0,14,15,12.0,23,11,20,21,4,9,20,16,19,240.9,37.3,83.0,0.449,9.5,26.0,0.365,27.8,57.0,0.488,15.8,20.5,0.7709999999999999,8.7,33.0,41.6,20.0,8.3,4.6,14.9,20.5,99.8,18,2,3,6.0,5,3,17.0,4,15,4.0,8,10,19.0,3,10,1,1,24,11,6,8,1
59,WAS,2018,43,39,43,39,0.59,-0.06,0.53,109.3,108.7,96.6,0.254,0.31,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,Capital One Arena,"739,302",17,14,15,15,15.0,18.0,15.0,14.0,15.0,18.0,15.0,24.0,11.0,21.0,9.0,15.0,15.0,9.0,18.0,26.0,None,14,242.1,39.9,85.6,0.467,9.9,26.5,0.375,30.0,59.1,0.508,16.8,21.8,0.772,10.0,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6,5,12,19,11.0,21,23,4.0,10,10,14.0,13,14,15.0,13,22,21,4,10,22,18,25,13,242.1,39.0,84.4,0.462,10.2,29.2,0.349,28.8,55.2,0.522,17.9,23.5,0.7609999999999999,9.8,32.7,42.5,22.3,7.8,4.7,14.9,20.0,106.0,5,11,9,15.0,12,14,6.0,12,9,23.0,22,26,10.0,16,7,10,10,19,13,6,15,15
60,ATL,2019,29,53,27,55,-6.02,-0.04,-6.06,108.1,113.9,103.9,0.255,0.40299999999999997,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,State Farm Arena,"628,440",26,5,26,26,26.0,18.0,26.0,23.0,27.0,1.0,17.0,4.0,17.0,30.0,6.0,19.0,27.0,12.0,20.0,30.0,None,27,242.1,41.4,91.8,0.451,13.0,37.0,0.35200000000000004,28.4,54.8,0.518,17.6,23.4,0.752,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,113.3,7,15,4,21.0,4,3,16.0,21,24,15.0,18,12,21.0,4,18,12,10,11,14,30,29,12,242.1,42.8,90.5,0.473,12.4,34.4,0.359,30.4,56.1,0.5429999999999999,21.5,28.3,0.758,10.6,35.4,46.0,26.9,9.9,5.5,15.0,22.2,119.4,7,27,21,26.0,28,28,19.0,23,9,29.0,30,30,8.0,19,21,23,30,30,24,8,5,30
61,BOS,2019,49,33,52,30,4.44,-0.54,3.9,112.2,107.8,99.6,0.215,0.381,0.534,11.5,21.6,0.17300000000000001,0.514,13.4,77.0,0.198,TD Garden,"763,584",9,21,6,6,6.0,27.0,8.0,10.0,7.0,16.0,30.0,9.0,7.0,4.0,24.0,28.0,9.0,8.0,18.0,17.0,None,11,241.2,42.1,90.5,0.465,12.6,34.5,0.365,29.5,56.0,0.527,15.6,19.5,0.802,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4,18,11,9,14.0,6,7,7.0,18,18,11.0,28,29,4.0,20,16,22,5,4,10,3,12,14,241.2,39.5,88.1,0.44799999999999995,11.5,33.5,0.344,28.0,54.6,0.513,17.4,22.8,0.764,10.4,35.5,45.9,23.7,6.8,3.9,15.1,19.5,108.0,18,4,9,4.0,15,22,6.0,5,5,12.0,13,16,12.0,16,22,22,8,2,2,7,26,8
62,BRK,2019,42,40,41,41,-0.07,-0.33,-0.4,109.6,109.7,100.8,0.284,0.40299999999999997,0.52,13.0,23.8,0.21100000000000002,0.512,11.6,76.4,0.19,Barclays Center,"612,597",14,16,15,15,15.0,23.0,15.0,19.0,14.0,11.0,5.0,5.0,18.0,25.0,10.0,6.0,7.0,23.0,21.0,10.0,None,30,243.7,40.3,89.7,0.449,12.8,36.2,0.353,27.5,53.6,0.513,19.0,25.5,0.745,11.0,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2,1,20,14,25.0,5,5,14.0,27,25,17.0,6,4,24.0,10,10,7,21,27,28,26,23,15,243.7,42.2,92.5,0.456,10.3,30.3,0.341,31.9,62.1,0.513,17.6,22.8,0.77,11.0,35.2,46.2,23.7,7.8,5.3,13.5,22.0,112.3,1,23,27,12.0,5,9,3.0,30,30,11.0,16,16,21.0,24,18,24,10,22,22,20,7,18
63,CHO,2019,39,43,38,44,-1.1,-0.22,-1.32,111.4,112.5,98.7,0.257,0.37799999999999995,0.514,10.9,21.7,0.205,0.5379999999999999,12.1,77.1,0.179,Spectrum Center,"676,570",17,12,19,19,18.0,20.0,22.0,12.0,22.0,21.0,15.0,11.0,24.0,1.0,23.0,10.0,24.0,17.0,16.0,3.0,None,23,241.8,40.2,89.8,0.44799999999999995,11.9,33.9,0.35100000000000003,28.3,55.8,0.507,18.4,23.1,0.797,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,110.7,11,21,12,26.0,11,10,18.0,24,19,22.0,9,16,6.0,19,22,23,24,21,18,2,3,19,241.8,41.9,89.2,0.47,12.1,33.5,0.361,29.8,55.6,0.536,15.9,20.2,0.787,10.1,35.7,45.8,26.0,6.9,6.0,13.5,20.6,111.8,11,20,13,25.0,25,22,23.0,14,7,24.0,5,2,30.0,12,25,21,26,4,29,17,18,17
64,CHI,2019,22,60,21,61,-8.41,0.1,-8.32,104.8,113.2,99.0,0.235,0.295,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188,United Center,"823,475",27,4,27,27,27.0,16.0,27.0,29.0,25.0,19.0,26.0,28.0,28.0,22.0,30.0,22.0,26.0,18.0,13.0,7.0,None,2,242.7,39.8,87.9,0.45299999999999996,9.1,25.9,0.35100000000000003,30.7,62.0,0.496,16.2,20.7,0.7829999999999999,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,104.9,3,23,22,20.0,30,27,19.0,13,5,28.0,25,26,11.0,30,21,25,27,20,26,19,9,27,242.7,42.2,89.2,0.473,12.1,33.0,0.365,30.2,56.2,0.537,16.8,22.0,0.763,10.0,36.4,46.4,25.5,7.3,5.8,13.3,18.7,113.4,3,24,15,27.0,24,20,26.0,18,10,25.0,9,8,10.0,11,28,25,22,9,28,22,30,20
65,CLE,2019,19,63,19,63,-9.61,0.22,-9.39,107.7,117.6,96.6,0.23600000000000002,0.332,0.503,12.2,23.7,0.187,0.564,11.5,77.0,0.18100000000000002,Quicken Loans Arena,"793,337",28,2,30,30,30.0,12.0,30.0,25.0,30.0,29.0,25.0,23.0,29.0,12.0,11.0,21.0,30.0,26.0,17.0,4.0,None,8,240.9,38.9,87.6,0.444,10.3,29.1,0.355,28.6,58.5,0.488,16.4,20.7,0.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20.0,104.5,24,26,23,28.0,20,24,13.0,20,13,29.0,22,27,7.0,12,28,26,29,28,30,9,6,29,240.9,43.2,87.2,0.495,12.0,31.6,0.38,31.2,55.6,0.561,15.8,20.5,0.77,9.5,34.6,44.1,25.7,6.9,5.6,12.5,19.4,114.1,24,28,7,30.0,22,11,30.0,25,6,30.0,3,3,19.0,6,13,8,24,6,27,28,28,24
66,DAL,2019,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,99.0,0.29100000000000004,0.42200000000000004,0.519,12.7,22.7,0.21600000000000003,0.522,11.6,77.5,0.191,American Airlines Center,"820,569",22,7,21,21,20.0,4.0,19.0,20.0,18.0,20.0,4.0,2.0,19.0,20.0,15.0,5.0,16.0,24.0,12.0,12.0,None,3,241.2,38.8,86.9,0.447,12.5,36.6,0.34,26.3,50.2,0.524,18.8,25.3,0.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9,18,28,28,27.0,7,4,27.0,29,29,13.0,7,5,25.0,16,14,16,22,29,26,20,8,21,241.2,40.9,89.2,0.45899999999999996,11.2,32.5,0.344,29.7,56.7,0.525,17.1,22.0,0.777,10.2,34.6,44.8,24.5,7.8,4.5,13.0,23.2,110.1,18,14,14,16.0,12,16,7.0,12,12,18.0,11,7,25.0,14,14,14,14,23,6,25,2,13
67,DEN,2019,54,28,51,31,3.95,0.24,4.19,113.0,108.9,97.7,0.23199999999999998,0.348,0.527,11.9,26.6,0.175,0.521,12.3,78.0,0.19399999999999998,Pepsi Center,"756,457",4,27,8,8,8.0,8.0,7.0,6.0,10.0,27.0,27.0,15.0,15.0,8.0,2.0,27.0,15.0,15.0,8.0,15.0,None,12,240.6,41.9,90.0,0.466,11.0,31.4,0.35100000000000003,30.9,58.7,0.527,15.8,20.9,0.755,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20.0,110.7,27,12,11,13.0,18,16,17.0,10,12,10.0,27,25,20.0,2,17,8,2,13,24,8,7,20,240.6,39.6,86.4,0.45799999999999996,10.8,31.9,0.33899999999999997,28.8,54.5,0.528,16.7,22.2,0.753,9.7,32.7,42.5,24.6,7.4,5.0,13.5,20.4,106.7,27,5,4,15.0,10,13,1.0,6,4,21.0,7,9,2.0,7,2,1,16,14,14,17,20,6
68,DET,2019,41,41,40,42,-0.24,-0.31,-0.56,109.0,109.2,97.4,0.262,0.39399999999999996,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.21100000000000002,Little Caesars Arena,"675,963",16,15,17,17,17.0,22.0,17.0,21.0,11.0,28.0,12.0,6.0,26.0,14.0,4.0,16.0,19.0,11.0,5.0,26.0,None,24,242.1,38.8,88.3,0.44,12.1,34.8,0.348,26.7,53.5,0.5,17.3,23.1,0.747,11.4,33.6,45.0,22.5,6.9,4.0,13.8,22.1,107.0,7,27,19,29.0,9,6,23.0,28,26,27.0,19,17,23.0,5,24,18,26,22,29,11,26,25,242.1,39.9,85.0,0.469,9.6,27.8,0.345,30.3,57.2,0.53,17.9,23.7,0.755,9.1,34.6,43.7,23.7,6.9,5.1,14.1,21.3,107.3,7,6,2,24.0,1,2,9.0,21,17,22.0,18,21,5.0,3,12,6,8,5,17,14,11,7
69,GSW,2019,57,25,56,26,6.46,-0.04,6.42,115.9,109.5,100.9,0.22699999999999998,0.384,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,Oracle Arena,"803,436",3,28,2,2,2.0,19.0,2.0,1.0,13.0,10.0,28.0,8.0,1.0,18.0,16.0,23.0,3.0,20.0,14.0,21.0,None,6,241.5,44.0,89.8,0.491,13.3,34.4,0.385,30.8,55.3,0.557,16.3,20.4,0.8009999999999999,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7,15,1,13,1.0,3,8,3.0,12,22,2.0,23,28,5.0,21,3,11,1,15,1,21,22,2,241.5,40.4,91.1,0.444,11.6,33.6,0.34700000000000003,28.8,57.5,0.5,18.7,24.2,0.773,10.8,33.5,44.3,24.3,7.7,3.6,13.5,19.5,111.2,15,11,24,3.0,17,25,11.0,7,20,4.0,24,24,23.0,21,5,10,12,19,1,19,27,16
70,HOU,2019,53,29,53,29,4.77,0.19,4.96,115.5,110.7,97.9,0.27899999999999997,0.519,0.542,12.0,22.8,0.221,0.525,13.4,74.4,0.21,Toyota Center,"740,392",5,25,5,5,5.0,13.0,5.0,2.0,17.0,26.0,6.0,1.0,4.0,9.0,14.0,3.0,18.0,7.0,28.0,25.0,None,16,241.8,39.2,87.4,0.449,16.1,45.4,0.35600000000000004,23.1,42.0,0.551,19.3,24.4,0.7909999999999999,10.2,31.9,42.1,21.2,8.5,4.9,13.3,22.0,113.9,11,25,26,24.0,1,1,12.0,30,30,3.0,3,7,9.0,14,29,28,28,5,18,6,25,11,241.8,40.4,86.7,0.466,10.1,29.8,0.34,30.3,56.9,0.532,18.2,23.7,0.768,11.0,34.5,45.4,23.5,7.4,4.5,15.0,20.0,109.1,11,10,5,19.0,3,4,2.0,20,13,23.0,21,20,16.0,23,10,16,7,11,8,9,24,10
71,IND,2019,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,98.1,0.242,0.292,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184,Bankers Life Fieldhouse,"689,310",11,18,9,9,10.0,28.0,10.0,18.0,3.0,24.0,23.0,29.0,10.0,17.0,21.0,23.0,13.0,2.0,23.0,5.0,None,22,240.3,41.3,87.0,0.475,9.5,25.4,0.374,31.8,61.6,0.517,15.8,21.1,0.752,9.3,33.7,43.0,26.0,8.7,4.9,13.7,19.4,108.0,30,16,27,4.0,29,29,5.0,5,7,16.0,26,23,22.0,25,23,24,9,3,20,10,4,22,240.3,38.7,86.1,0.45,11.4,32.1,0.354,27.4,54.0,0.507,15.8,21.0,0.7559999999999999,10.5,33.1,43.7,24.5,7.4,5.2,15.7,20.0,104.7,30,3,3,6.0,14,14,14.0,3,3,7.0,4,6,7.0,17,3,5,13,13,21,5,23,1
72,LAC,2019,48,34,43,39,0.85,0.23,1.09,112.4,111.5,101.7,0.326,0.295,0.529,12.7,22.0,0.258,0.514,11.4,76.0,0.22399999999999998,STAPLES Center,"710,327",11,18,13,13,13.0,10.0,13.0,9.0,21.0,7.0,1.0,27.0,12.0,21.0,19.0,1.0,8.0,27.0,25.0,27.0,None,20,241.8,41.3,87.5,0.47100000000000003,10.0,25.8,0.38799999999999996,31.3,61.7,0.507,22.6,28.5,0.792,9.7,35.8,45.5,24.0,6.8,4.7,14.5,23.3,115.1,11,17,24,7.0,25,28,2.0,9,6,23.0,1,1,8.0,22,8,13,18,23,22,22,28,5,241.8,41.7,91.3,0.457,10.4,30.2,0.34299999999999997,31.4,61.1,0.513,20.5,26.3,0.777,11.3,34.5,45.7,24.1,8.3,6.1,13.2,24.0,114.3,11,18,25,14.0,6,8,5.0,28,28,14.0,28,28,24.0,28,11,19,11,25,30,24,1,25
