,Team,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OPP eFG%,OPP TOV%,OPP DRB%,OPP FT/FGA,Arena,Attendance,LG W,LG L,LG PW,LG PL,LG MOV,LG SOS,LG SRS,LG ORtg,LG DRtg,LG Pace,LG FTr,LG 3PAr,LG eFG%,LG TOV%,LG ORB%,LG FT/FGA,LG OPP eFG%,LG OPP TOV%,LG OPP DRB%,LG OPP FT/FGA,LG Arena,LG Attendance,MP/G,FG/G,FGA/G,FG%/G,3P/G,3PA/G,3P%/G,2P/G,2PA/G,2P%/G,FT/G,FTA/G,FT%/G,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,LG MP/G,LG FG/G,LG FGA/G,LG FG%/G,LG 3P/G,LG 3PA/G,LG 3P%/G,LG 2P/G,LG 2PA/G,LG 2P%/G,LG FT/G,LG FTA/G,LG FT%/G,LG ORB/G,LG DRB/G,LG TRB/G,LG AST/G,LG STL/G,LG BLK/G,LG TOV/G,LG PF/G,LG PTS/G,OPP MP/G,OPP FG/G,OPP FGA/G,OPP FG%/G,OPP 3P/G,OPP 3PA/G,OPP 3P%/G,OPP 2P/G,OPP 2PA/G,OPP 2P%/G,OPP FT/G,OPP FTA/G,OPP FT%/G,OPP ORB/G,OPP DRB/G,OPP TRB/G,OPP AST/G,OPP STL/G,OPP BLK/G,OPP TOV/G,OPP PF/G,OPP PTS/G,LG OPP MP/G,LG OPP FG/G,LG OPP FGA/G,LG OPP FG%/G,LG OPP 3P/G,LG OPP 3PA/G,LG OPP 3P%/G,LG OPP 2P/G,LG OPP 2PA/G,LG OPP 2P%/G,LG OPP FT/G,LG OPP FTA/G,LG OPP FT%/G,LG OPP ORB/G,LG OPP DRB/G,LG OPP TRB/G,LG OPP AST/G,LG OPP STL/G,LG OPP BLK/G,LG OPP TOV/G,LG OPP PF/G,LG OPP PTS/G
73,LAL,2019,37,45,37,45,-1.72,0.39,-1.33,107.8,109.5,103.2,0.257,0.342,0.527,13.4,22.2,0.18,0.516,12.2,76.4,0.192,STAPLES Center,"778,877",20,11,23,23,23.0,5.0,23.0,24.0,12.0,4.0,16.0,17.0,14.0,28.0,17.0,25.0,11.0,16.0,22.0,13.0,None,10,241.2,42.6,90.5,0.47,10.3,31.0,0.33299999999999996,32.2,59.6,0.541,16.3,23.3,0.6990000000000001,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8,18,6,8,9.0,20,17,29.0,3,10,5.0,24,14,29.0,15,4,6,11,16,8,29,13,16,241.2,41.9,92.8,0.452,11.8,34.0,0.349,30.1,58.9,0.511,17.8,22.7,0.784,11.3,35.6,46.9,25.0,8.3,5.1,14.2,20.8,113.5,18,21,28,9.0,20,27,13.0,16,24,10.0,17,14,28.0,27,23,26,21,26,20,12,15,21
74,MEM,2019,33,49,34,48,-2.6,0.51,-2.08,106.1,108.8,96.6,0.272,0.342,0.508,12.9,20.0,0.21,0.521,13.9,77.6,0.23199999999999998,FedEx Forum,"638,332",22,7,24,24,24.0,2.0,24.0,27.0,9.0,30.0,7.0,18.0,27.0,23.0,29.0,7.0,14.0,3.0,11.0,28.0,None,26,242.4,38.0,84.4,0.45,9.9,28.9,0.342,28.1,55.6,0.505,17.7,23.0,0.772,8.8,33.0,41.8,23.9,8.3,5.5,14.0,22.0,103.5,4,30,30,23.0,27,25,25.0,26,21,24.0,15,18,15.0,29,26,29,19,6,4,15,24,30,242.4,37.6,83.4,0.451,11.6,32.2,0.36,26.0,51.2,0.508,19.3,24.7,0.784,9.5,35.2,44.7,23.4,7.6,4.9,15.2,21.4,106.1,4,1,1,7.0,16,15,21.0,1,1,8.0,27,27,29.0,5,17,12,6,18,13,6,9,3
75,MIA,2019,39,43,40,42,-0.23,-0.22,-0.45,107.3,107.6,98.2,0.247,0.368,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201,AmericanAirlines Arena,"805,264",17,12,16,16,16.0,21.0,16.0,26.0,6.0,23.0,20.0,13.0,21.0,26.0,5.0,29.0,5.0,13.0,10.0,19.0,None,5,240.6,39.6,88.0,0.45,11.3,32.4,0.349,28.3,55.6,0.509,15.1,21.7,0.695,11.2,35.1,46.3,24.3,7.6,5.5,14.7,20.9,105.7,27,24,21,22.0,15,14,21.0,22,20,20.0,29,22,30.0,7,15,10,17,14,4,23,15,26,240.6,38.3,86.8,0.441,11.9,33.1,0.358,26.4,53.6,0.493,17.5,22.7,0.769,10.1,34.0,44.2,23.3,7.5,4.7,14.1,20.1,105.9,27,2,6,2.0,21,21,17.0,2,2,2.0,14,13,18.0,13,7,9,4,15,11,13,22,2
76,MIL,2019,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,103.3,0.255,0.419,0.55,12.0,20.8,0.19699999999999998,0.503,11.5,80.3,0.162,Fiserv Forum,"721,692",1,30,1,1,1.0,30.0,1.0,4.0,1.0,2.0,17.0,3.0,2.0,10.0,27.0,15.0,1.0,25.0,1.0,1.0,None,17,241.2,43.4,91.1,0.47600000000000003,13.5,38.2,0.353,29.9,52.9,0.565,17.9,23.2,0.773,9.3,40.4,49.7,26.0,7.5,5.9,13.9,19.6,118.1,18,3,6,3.0,2,2,15.0,16,27,1.0,12,15,14.0,25,1,1,7,17,2,13,5,1,241.2,40.5,93.5,0.433,13.1,36.3,0.361,27.4,57.2,0.479,15.1,20.7,0.733,9.9,35.4,45.3,24.8,6.8,4.8,13.4,20.2,109.3,18,12,30,1.0,30,30,22.0,4,18,1.0,1,4,1.0,9,20,15,19,3,12,21,21,11
77,MIN,2019,36,46,37,45,-1.5,0.48,-1.02,111.4,112.9,100.2,0.267,0.315,0.511,11.4,24.6,0.21,0.5379999999999999,12.9,74.9,0.19,Target Center,"627,543",21,10,22,22,22.0,3.0,20.0,11.0,24.0,14.0,9.0,26.0,25.0,3.0,7.0,7.0,25.0,10.0,27.0,9.0,None,28,241.8,41.6,91.3,0.456,10.1,28.7,0.35100000000000003,31.5,62.5,0.504,19.1,24.3,0.787,11.3,33.5,44.8,24.6,8.3,5.0,13.1,20.3,112.5,11,13,5,17.0,23,26,19.0,6,3,25.0,4,8,10.0,6,25,19,15,7,17,4,10,13,241.8,42.1,90.1,0.467,12.7,33.6,0.37799999999999995,29.4,56.5,0.52,17.1,22.3,0.767,11.2,34.4,45.6,26.2,6.6,5.5,14.7,21.9,114.0,11,22,20,23.0,29,24,29.0,8,11,16.0,12,11,15.0,26,9,17,27,1,25,11,8,23
78,NOP,2019,33,49,38,44,-1.33,0.23,-1.1,111.4,112.6,103.3,0.254,0.324,0.529,12.6,24.1,0.193,0.532,11.6,76.8,0.193,Smoothie King Center,"656,183",22,7,20,20,21.0,11.0,21.0,13.0,23.0,3.0,19.0,24.0,11.0,19.0,9.0,18.0,21.0,22.0,19.0,14.0,None,25,240.9,43.7,92.2,0.473,10.3,29.9,0.344,33.4,62.4,0.536,17.8,23.4,0.7609999999999999,11.1,36.2,47.3,27.0,7.4,5.4,14.8,21.1,115.4,24,2,3,6.0,22,21,24.0,1,4,8.0,13,11,18.0,8,6,5,3,18,7,24,19,3,240.9,43.3,92.8,0.466,12.3,33.7,0.364,31.0,59.1,0.525,17.9,23.5,0.764,11.0,34.8,45.8,26.5,8.6,5.4,13.6,21.0,116.8,24,29,28,20.0,27,26,25.0,24,25,19.0,19,19,11.0,22,16,20,29,28,23,16,13,27
79,NYK,2019,17,65,19,63,-9.21,0.28,-8.93,104.5,113.7,99.6,0.27,0.33399999999999996,0.49,12.4,22.1,0.205,0.5329999999999999,11.7,76.1,0.203,Madison Square Garden (IV),"779,087",30,1,29,29,28.0,7.0,29.0,30.0,26.0,17.0,8.0,22.0,30.0,16.0,18.0,11.0,23.0,21.0,24.0,20.0,None,9,241.2,38.2,88.3,0.433,10.0,29.5,0.34,28.2,58.8,0.479,18.1,23.9,0.759,10.5,34.3,44.7,20.1,6.8,5.1,14.0,20.9,104.6,18,29,18,30.0,24,22,28.0,25,11,30.0,11,10,19.0,13,20,20,30,24,13,17,16,28,241.2,41.9,89.7,0.467,11.8,32.6,0.363,30.1,57.1,0.527,18.2,23.8,0.7659999999999999,10.7,36.8,47.5,25.6,7.4,5.6,13.2,20.8,113.8,18,19,16,22.0,19,17,24.0,15,15,20.0,21,22,14.0,20,30,29,23,11,26,23,14,22
80,OKC,2019,49,33,50,32,3.4,0.15,3.56,110.3,107.0,102.8,0.266,0.34700000000000003,0.514,11.7,26.0,0.19,0.523,14.4,78.2,0.20600000000000002,Chesapeake Energy Arena,"746,323",9,21,10,10,9.0,14.0,9.0,17.0,4.0,6.0,10.0,16.0,22.0,6.0,3.0,20.0,17.0,1.0,7.0,23.0,None,15,242.1,42.6,94.0,0.45399999999999996,11.4,32.6,0.348,31.3,61.3,0.51,17.8,25.0,0.713,12.6,35.5,48.1,23.4,9.3,5.2,14.0,22.4,114.5,7,5,1,18.0,13,13,22.0,8,8,19.0,14,6,28.0,1,11,2,23,1,12,14,27,7,242.1,40.8,88.7,0.46,11.2,31.6,0.35600000000000004,29.5,57.1,0.517,18.3,24.0,0.7609999999999999,9.9,35.8,45.7,24.9,8.2,5.1,16.7,22.5,111.1,7,13,12,17.0,13,12,16.0,11,16,15.0,23,23,9.0,8,26,18,20,24,16,1,3,15
81,ORL,2019,42,40,43,39,0.71,-0.43,0.28,108.9,108.1,98.1,0.21600000000000003,0.36,0.518,11.9,22.0,0.168,0.515,11.8,79.7,0.18600000000000003,Amway Center,"720,024",14,16,14,14,14.0,25.0,14.0,22.0,8.0,25.0,29.0,14.0,20.0,7.0,20.0,30.0,10.0,19.0,3.0,6.0,None,18,241.2,40.4,89.1,0.45399999999999996,11.4,32.1,0.35600000000000004,29.0,57.0,0.509,15.0,19.2,0.782,10.0,35.4,45.4,25.5,6.6,5.4,13.2,18.6,107.3,18,18,15,18.0,12,15,11.0,19,16,21.0,30,30,12.0,17,13,15,12,26,6,5,2,24,241.2,39.9,87.6,0.456,10.5,30.2,0.34700000000000003,29.5,57.4,0.513,16.3,20.9,0.778,9.0,35.6,44.6,23.1,7.0,4.4,13.0,18.7,106.6,18,7,8,11.0,7,7,10.0,9,19,12.0,6,5,27.0,2,24,11,2,7,5,26,29,5
82,PHI,2019,51,31,48,34,2.7,-0.44,2.25,112.6,110.0,101.6,0.312,0.342,0.532,12.9,24.5,0.24100000000000002,0.512,11.1,78.6,0.20600000000000002,Wells Fargo Center,"838,342",7,24,11,11,11.0,26.0,11.0,8.0,15.0,8.0,2.0,18.0,8.0,24.0,8.0,2.0,6.0,28.0,6.0,22.0,None,1,241.5,41.5,88.2,0.47100000000000003,10.8,30.2,0.359,30.7,58.0,0.529,21.2,27.5,0.7709999999999999,10.9,36.9,47.8,26.9,7.4,5.3,14.9,21.3,115.2,15,14,20,8.0,19,19,8.0,14,15,9.0,2,2,16.0,11,2,4,4,19,11,25,20,4,241.5,41.7,91.5,0.455,10.3,30.0,0.342,31.4,61.5,0.511,18.8,24.5,0.768,10.0,33.5,43.5,23.4,7.7,4.1,12.7,22.1,112.5,15,17,26,10.0,4,6,4.0,29,29,9.0,26,26,17.0,10,4,4,5,21,4,27,6,19
83,PHO,2019,19,63,19,63,-9.34,0.73,-8.61,105.9,115.1,100.5,0.259,0.335,0.514,13.8,20.5,0.20199999999999999,0.545,13.5,72.5,0.23600000000000002,Talking Stick Resort Arena,"627,023",28,2,28,28,29.0,1.0,28.0,28.0,29.0,12.0,13.0,21.0,23.0,29.0,28.0,13.0,28.0,6.0,30.0,29.0,None,29,242.4,40.1,87.4,0.45899999999999996,9.6,29.3,0.32899999999999996,30.5,58.1,0.525,17.6,22.7,0.779,9.1,31.3,40.4,23.9,9.0,5.1,15.6,23.6,107.5,4,22,25,16.0,28,23,30.0,15,14,12.0,17,20,13.0,28,30,30,20,2,15,28,29,23,242.4,42.5,88.2,0.48200000000000004,11.1,29.9,0.37200000000000005,31.3,58.2,0.5379999999999999,20.8,27.6,0.753,11.8,35.3,47.2,25.9,9.0,5.0,15.7,20.7,116.8,4,26,10,29.0,11,5,28.0,27,22,26.0,29,29,4.0,30,19,27,25,29,15,4,17,28
84,POR,2019,53,29,51,31,4.2,0.24,4.43,114.7,110.5,99.1,0.258,0.33899999999999997,0.528,12.1,26.6,0.21,0.516,11.0,77.9,0.195,Moda Center,"799,345",5,25,7,7,7.0,9.0,6.0,3.0,16.0,18.0,14.0,20.0,13.0,11.0,1.0,7.0,12.0,30.0,9.0,16.0,None,7,242.1,42.3,90.6,0.467,11.0,30.7,0.359,31.3,59.8,0.523,19.0,23.3,0.8140000000000001,11.8,36.2,48.0,23.0,6.7,5.0,13.8,20.4,114.7,7,7,7,12.0,17,18,9.0,7,9,14.0,5,13,2.0,3,7,3,25,25,16,11,11,6,242.1,41.1,90.0,0.457,10.7,29.8,0.359,30.4,60.3,0.505,17.5,22.8,0.77,10.3,32.6,42.8,23.2,7.4,5.1,12.4,20.7,110.5,7,15,19,13.0,8,3,20.0,22,26,5.0,15,15,20.0,15,1,3,3,10,18,29,16,14
85,SAC,2019,39,43,38,44,-1.12,0.31,-0.81,110.4,111.5,103.1,0.244,0.321,0.524,11.5,23.1,0.177,0.5329999999999999,13.6,75.5,0.207,Golden 1 Center,"700,975",17,12,18,18,19.0,6.0,18.0,16.0,20.0,5.0,22.0,25.0,16.0,5.0,12.0,26.0,22.0,4.0,26.0,24.0,None,21,240.6,43.2,93.1,0.46399999999999997,11.3,29.9,0.37799999999999995,31.9,63.2,0.504,16.5,22.7,0.726,11.0,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2,27,4,2,15.0,16,20,4.0,4,1,26.0,21,19,27.0,9,19,14,14,10,24,7,21,9,240.6,42.3,90.6,0.466,12.0,34.6,0.348,30.2,56.0,0.54,18.8,24.4,0.77,11.2,36.8,48.0,24.7,7.5,5.1,15.9,21.4,115.3,27,25,23,20.0,23,29,12.0,19,8,27.0,25,25,21.0,25,29,30,17,16,18,2,10,26
86,SAS,2019,48,34,45,37,1.68,0.12,1.8,112.9,111.2,98.3,0.237,0.28600000000000003,0.534,11.0,21.0,0.19399999999999998,0.528,11.0,79.4,0.17,AT&T Center,"750,616",11,18,12,12,12.0,15.0,12.0,7.0,19.0,22.0,24.0,30.0,6.0,2.0,26.0,17.0,20.0,29.0,4.0,2.0,None,13,241.5,42.3,88.4,0.478,9.9,25.3,0.392,32.4,63.1,0.513,17.2,21.0,0.8190000000000001,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7,15,8,17,2.0,26,30,1.0,2,2,18.0,20,24,1.0,27,12,21,16,30,21,1,1,18,241.5,41.5,89.7,0.46299999999999997,11.7,32.7,0.359,29.8,57.0,0.522,15.2,20.2,0.755,9.2,34.7,43.9,24.7,7.2,4.0,12.2,19.6,110.0,15,16,18,18.0,18,18,18.0,13,14,17.0,2,1,6.0,4,15,7,18,8,3,30,25,12
87,TOR,2019,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,100.2,0.247,0.379,0.5429999999999999,12.4,21.9,0.198,0.509,13.1,77.1,0.19,Scotiabank Arena,"812,822",2,29,3,3,3.0,29.0,3.0,5.0,5.0,15.0,21.0,10.0,3.0,15.0,22.0,14.0,4.0,9.0,15.0,11.0,None,4,242.4,42.2,89.1,0.474,12.4,33.8,0.366,29.8,55.3,0.539,17.7,22.0,0.804,9.6,35.6,45.2,25.4,8.3,5.3,14.0,21.0,114.4,4,9,16,5.0,8,11,6.0,17,23,7.0,16,21,3.0,24,9,17,13,9,9,16,17,8,242.4,40.3,89.7,0.449,10.8,31.2,0.345,29.5,58.5,0.505,17.1,22.3,0.765,10.6,34.2,44.8,24.5,7.6,4.5,14.9,20.5,108.4,4,9,16,5.0,9,10,8.0,10,23,6.0,10,12,13.0,18,8,13,15,17,6,10,19,9
88,UTA,2019,50,32,54,28,5.26,0.03,5.28,110.9,105.7,100.3,0.295,0.39399999999999996,0.5379999999999999,13.4,22.9,0.217,0.507,12.4,80.3,0.18899999999999997,Vivint Smart Home Arena,"750,546",8,23,4,4,4.0,17.0,4.0,15.0,2.0,13.0,3.0,7.0,5.0,27.0,13.0,4.0,2.0,14.0,2.0,8.0,None,14,240.9,40.4,86.4,0.46799999999999997,12.1,34.0,0.35600000000000004,28.3,52.4,0.541,18.8,25.5,0.736,10.0,36.4,46.4,26.0,8.1,5.9,15.1,21.1,111.7,24,19,29,10.0,9,9,10.0,23,28,6.0,8,3,26.0,18,5,9,8,12,3,27,18,17,240.9,40.0,88.5,0.452,9.8,27.7,0.355,30.1,60.7,0.496,16.7,22.2,0.753,8.9,33.7,42.6,21.6,8.5,4.6,13.9,22.4,106.5,24,8,11,8.0,2,1,15.0,17,27,3.0,7,9,2.0,1,6,2,1,27,9,15,4,4
89,WAS,2019,32,50,34,48,-2.9,-0.4,-3.3,111.1,113.9,101.4,0.266,0.37,0.531,12.3,21.3,0.204,0.546,13.5,74.1,0.19899999999999998,Capital One Arena,"716,996",25,6,25,25,25.0,24.0,25.0,14.0,28.0,9.0,11.0,12.0,9.0,13.0,25.0,12.0,29.0,5.0,29.0,18.0,None,19,243.0,42.1,90.1,0.46799999999999997,11.3,33.3,0.341,30.8,56.8,0.5429999999999999,18.4,23.9,0.768,9.7,32.7,42.4,26.3,8.3,4.6,14.1,20.7,114.0,2,10,10,11.0,14,12,26.0,11,17,4.0,10,9,17.0,23,27,27,6,7,23,18,13,10,243.0,43.4,90.5,0.48,12.1,32.8,0.37,31.3,57.7,0.542,18.0,23.1,0.778,11.4,35.8,47.3,26.2,7.7,4.6,15.8,21.2,116.9,2,30,22,28.0,26,19,27.0,26,21,28.0,20,18,26.0,29,27,28,28,20,10,3,12,29
90,ATL,2020,20,47,18,49,-7.97,0.27,-7.71,107.2,114.8,103.0,0.258,0.39799999999999996,0.515,13.8,21.6,0.204,0.5429999999999999,12.7,74.9,0.233,State Farm Arena,"545,453",26,2,28,29,29.0,10.0,28.0,26.0,27.0,5.0,19.0,11.0,25.0,28.0,21.0,14.0,24.0,15.0,29.0,29.0,None,20,243.0,40.6,90.6,0.449,12.0,36.1,0.33299999999999996,28.6,54.5,0.525,18.5,23.4,0.79,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,111.8,23,17,7,23.0,16,8,30.0,17,18,14.0,12,15,10.0,19,23,22,17,13,12,28,30,17,243.0,43.3,90.7,0.478,11.9,32.7,0.363,31.4,58.0,0.542,21.2,27.4,0.772,11.2,35.9,47.0,25.0,9.0,6.4,15.0,21.0,119.7,23,29,24,26.0,11,7,22.0,28,27,25.0,30,30,16.0,29,25,28,21,29,30,11,13,30
91,BOS,2020,48,24,50,22,6.31,-0.47,5.83,113.3,107.0,99.5,0.259,0.386,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,TD Garden,"610,864",5,26,2,2,3.0,26.0,5.0,4.0,4.0,17.0,18.0,14.0,17.0,6.0,8.0,12.0,4.0,9.0,17.0,22.0,None,11,242.1,41.3,89.6,0.461,12.6,34.5,0.364,28.7,55.0,0.522,18.6,23.2,0.8009999999999999,10.7,35.4,46.1,23.0,8.3,5.6,13.8,21.6,113.7,13,12,11,17.0,12,13,13.0,16,16,18.0,11,18,5.0,6,11,8,25,6,5,8,20,9,242.1,38.4,87.1,0.441,11.8,34.8,0.34,26.6,52.3,0.508,18.8,24.5,0.767,10.3,34.0,44.3,22.4,7.1,5.5,15.2,20.7,107.3,13,2,8,4.0,10,16,2.0,4,6,7.0,20,19,9.0,18,8,11,2,8,25,9,15,2
92,BRK,2020,35,37,35,37,-0.57,-0.44,-1.01,108.9,109.5,101.4,0.267,0.423,0.52,13.1,23.2,0.19899999999999998,0.511,11.0,77.8,0.187,Barclays Center,"524,907",14,17,15,15,15.0,25.0,20.0,22.0,9.0,9.0,11.0,5.0,23.0,19.0,10.0,17.0,6.0,29.0,12.0,9.0,None,25,242.8,40.4,90.3,0.44799999999999995,13.1,38.1,0.34299999999999997,27.3,52.1,0.524,17.9,24.1,0.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8,11,19,10,24.0,9,5,26.0,23,22,15.0,15,9,25.0,9,2,2,15,27,23,24,16,16,242.8,41.4,92.9,0.446,12.2,34.8,0.35,29.2,58.1,0.503,17.4,22.6,0.769,10.6,35.3,45.9,22.6,7.7,5.3,12.8,21.1,112.3,11,18,29,5.0,13,18,9.0,17,29,5.0,12,13,13.0,24,20,22,3,16,21,28,10,19
93,CHO,2020,23,42,19,46,-6.75,-0.28,-7.03,106.3,113.3,95.8,0.252,0.39899999999999997,0.504,13.3,23.9,0.188,0.546,13.1,74.4,0.159,Spectrum Center,"478,591",23,9,27,27,27.0,22.0,27.0,29.0,24.0,30.0,23.0,10.0,28.0,22.0,7.0,22.0,27.0,12.0,30.0,1.0,None,30,242.3,37.3,85.9,0.434,12.1,34.3,0.35200000000000004,25.2,51.6,0.489,16.2,21.6,0.748,11.0,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9,26,30,26,30.0,15,14,19.0,29,25,30.0,26,25,24.0,3,29,26,19,26,25,14,3,30,242.3,41.7,87.5,0.47600000000000003,12.4,35.1,0.35200000000000004,29.3,52.5,0.5579999999999999,14.0,18.4,0.758,10.9,35.0,46.0,26.6,8.0,5.0,14.4,20.6,109.6,26,19,12,23.0,19,23,11.0,18,7,30.0,1,1,4.0,27,18,23,30,23,20,16,16,12
94,CHI,2020,22,43,26,39,-3.08,-0.93,-4.0,106.7,109.8,99.7,0.231,0.396,0.515,13.7,22.8,0.175,0.546,16.3,75.6,0.239,United Center,"639,352",24,8,23,18,22.0,30.0,22.0,27.0,12.0,16.0,27.0,12.0,24.0,25.0,13.0,28.0,26.0,1.0,26.0,30.0,None,4,241.2,39.6,88.6,0.447,12.2,35.1,0.348,27.4,53.5,0.511,15.5,20.5,0.755,10.5,31.4,41.9,23.2,10.0,4.1,15.5,21.8,106.8,29,25,16,26.0,14,11,22.0,21,19,25.0,28,27,21.0,13,30,29,23,1,26,27,24,27,241.2,39.5,82.5,0.479,11.2,31.6,0.353,28.3,50.9,0.557,19.7,26.0,0.759,10.2,35.4,45.5,25.4,8.2,5.9,18.3,19.2,109.9,29,7,1,27.0,4,4,12.0,14,4,28.0,28,28,5.0,16,22,20,25,24,28,1,29,14
95,CLE,2020,19,46,18,47,-7.89,0.12,-7.77,107.5,115.4,98.7,0.22699999999999998,0.36200000000000004,0.522,14.6,24.6,0.172,0.56,11.7,77.4,0.16399999999999998,Quicken Loans Arena,"643,008",28,4,29,28,28.0,15.0,29.0,25.0,29.0,23.0,29.0,19.0,22.0,30.0,3.0,29.0,30.0,25.0,16.0,2.0,None,2,241.9,40.3,87.9,0.45799999999999996,11.2,31.8,0.35100000000000003,29.1,56.1,0.519,15.1,19.9,0.758,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9,27,20,24,19.0,21,20,20.0,14,13,20.0,29,29,20.0,4,22,19,24,25,30,30,1,26,241.9,43.9,89.4,0.491,12.4,33.0,0.375,31.5,56.4,0.5579999999999999,14.7,19.2,0.767,9.7,33.1,42.9,26.1,9.4,6.3,13.0,19.6,114.8,27,30,18,30.0,20,8,26.0,29,21,29.0,2,2,11.0,11,3,6,29,30,29,26,26,22
96,DAL,2020,43,32,49,26,4.95,-0.07,4.87,116.7,111.7,99.3,0.264,0.457,0.545,11.2,23.2,0.20600000000000002,0.525,10.6,77.7,0.175,American Airlines Center,"682,096",12,18,5,6,6.0,18.0,6.0,1.0,18.0,18.0,12.0,2.0,4.0,1.0,11.0,13.0,13.0,30.0,14.0,4.0,None,1,242.3,41.7,90.3,0.461,15.1,41.3,0.36700000000000005,26.5,49.0,0.541,18.6,23.8,0.779,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117.0,1,9,9,16.0,2,2,10.0,26,28,4.0,10,11,14.0,11,4,4,14,29,16,2,6,3,242.3,41.9,91.6,0.45799999999999996,12.3,34.9,0.35100000000000003,29.7,56.7,0.523,16.0,21.0,0.76,10.4,35.0,45.4,23.9,7.0,4.1,11.9,21.3,112.1,1,21,26,13.0,17,20,10.0,22,24,13.0,5,6,7.0,21,17,19,10,5,5,30,9,16
97,DEN,2020,46,27,41,32,2.11,0.24,2.35,113.1,111.0,97.1,0.235,0.344,0.535,12.3,24.8,0.183,0.5329999999999999,12.9,76.8,0.198,Pepsi Center,"633,153",6,25,11,12,11.0,11.0,10.0,5.0,16.0,29.0,26.0,27.0,10.0,8.0,2.0,25.0,17.0,14.0,19.0,14.0,None,6,243.1,42.0,88.9,0.473,11.0,30.6,0.359,31.1,58.3,0.5329999999999999,16.2,20.9,0.777,10.8,33.4,44.1,26.7,8.0,4.6,13.8,20.3,111.3,3,8,15,4.0,24,26,15.0,5,6,6.0,25,26,16.0,5,24,20,4,9,19,7,11,19,243.1,40.0,86.5,0.46299999999999997,12.1,33.9,0.358,27.9,52.6,0.53,17.1,22.5,0.759,10.1,32.6,42.6,25.4,7.2,4.4,14.3,20.5,109.2,3,11,5,15.0,12,15,17.0,10,8,18.0,10,12,6.0,12,1,4,24,10,8,17,17,11
